Title,Count
2001 MAY,19
2001 JUN,19
2001 JUL,18
2001 AUG,17
2001 SEP,16
2001 OCT,15
2001 NOV,15
2001 DEC,15
2002 JAN,16
2002 FEB,16
2002 MAR,17
2002 APR,15
2002 MAY,15
2002 JUN,15
2002 JUL,17
2002 AUG,16
2002 SEP,15
2002 OCT,13
2002 NOV,14
2002 DEC,15
2003 JAN,15
2003 FEB,16
2003 MAR,15
2003 APR,15
2003 MAY,14
2003 JUN,13
2003 JUL,14
2003 AUG,14
2003 SEP,15
2003 OCT,16
2003 NOV,16
2003 DEC,15
2004 JAN,14
2004 FEB,14
2004 MAR,16
2004 APR,17
2004 MAY,16
2004 JUN,16
2004 JUL,16
2004 AUG,16
2004 SEP,16
2004 OCT,15
2004 NOV,16
2004 DEC,16
2005 JAN,15
2005 FEB,14
2005 MAR,13
2005 APR,13
2005 MAY,14
2005 JUN,14
2005 JUL,15
2005 AUG,14
2005 SEP,14
2005 OCT,12
2005 NOV,14
2005 DEC,15
2006 JAN,15
2006 FEB,15
2006 MAR,15
2006 APR,14
2006 MAY,13
2006 JUN,14
2006 JUL,14
2006 AUG,14
2006 SEP,13
2006 OCT,12
2006 NOV,12
2006 DEC,11
2007 JAN,12
2007 FEB,13
2007 MAR,14
2007 APR,15
2007 MAY,14
2007 JUN,14
2007 JUL,14
2007 AUG,14
2007 SEP,15
2007 OCT,15
2007 NOV,14
2007 DEC,14
2008 JAN,15
2008 FEB,16
2008 MAR,17
2008 APR,17
2008 MAY,17
2008 JUN,17
2008 JUL,15
2008 AUG,13
2008 SEP,13
2008 OCT,13
2008 NOV,13
2008 DEC,12
2009 JAN,10
2009 FEB,10
2009 MAR,9
2009 APR,9
2009 MAY,9
2009 JUN,8
2009 JUL,10
2009 AUG,10
2009 SEP,11
2009 OCT,10
2009 NOV,10
2009 DEC,10
2010 JAN,10
2010 FEB,11
2010 MAR,12
2010 APR,15
2010 MAY,14
2010 JUN,15
2010 JUL,13
2010 AUG,14
2010 SEP,13
2010 OCT,15
2010 NOV,14
2010 DEC,14
2011 JAN,12
2011 FEB,11
2011 MAR,10
2011 APR,9
2011 MAY,10
2011 JUN,10
2011 JUL,10
2011 AUG,11
2011 SEP,11
2011 OCT,10
2011 NOV,9
2011 DEC,10
2012 JAN,13
2012 FEB,13
2012 MAR,12
2012 APR,9
2012 MAY,11
2012 JUN,12
2012 JUL,13
2012 AUG,13
2012 SEP,13
2012 OCT,14
2012 NOV,15
2012 DEC,16
2013 JAN,16
2013 FEB,14
2013 MAR,14
2013 APR,15
2013 MAY,16
2013 JUN,16
2013 JUL,16
2013 AUG,16
2013 SEP,14
2013 OCT,12
2013 NOV,12
2013 DEC,13
2014 JAN,14
2014 FEB,14
2014 MAR,16
2014 APR,18
2014 MAY,21
2014 JUN,19
2014 JUL,18
2014 AUG,15
2014 SEP,17
2014 OCT,17
2014 NOV,19
2014 DEC,18
2015 JAN,19
2015 FEB,19
2015 MAR,18
2015 APR,17
2015 MAY,16
2015 JUN,15
2015 JUL,16
2015 AUG,14
2015 SEP,18
2015 OCT,19
2015 NOV,22
2015 DEC,20
2016 JAN,20
2016 FEB,21
2016 MAR,21
2016 APR,21
2016 MAY,21
2016 JUN,19
2016 JUL,22
2016 AUG,23
2016 SEP,26
2016 OCT,23
2016 NOV,22
2016 DEC,19
2017 JAN,19
2017 FEB,19
2017 MAR,19
2017 APR,18
2017 MAY,19
2017 JUN,19
2017 JUL,20
2017 AUG,21
2017 SEP,20
2017 OCT,21
2017 NOV,21
2017 DEC,23
2018 JAN,22
2018 FEB,23
2018 MAR,22
2018 APR,24
2018 MAY,26
2018 JUN,26
2018 JUL,27
2018 AUG,25
2018 SEP,26
2018 OCT,25
2018 NOV,25
2018 DEC,25